統計期,平均匯率(元/美元),...3,PERIOD
41年,10.3,NA,41年
42年,15.55,NA,42年
43年,15.55,NA,43年
44年,15.55,NA,44年
45年,24.78,NA,45年
46年,24.78,NA,46年
47年,24.78,NA,47年
48年,36.38,NA,48年
49年,36.38,NA,49年
50年,40,NA,50年
51年,40,NA,51年
52年,40,NA,52年
53年,40,NA,53年
54年,40,NA,54年
55年,40,NA,55年
56年,40,NA,56年
57年,40,NA,57年
58年,40,NA,58年
59年,40,NA,59年
60年,40,NA,60年
61年,40,NA,61年
62年,38.25,NA,62年
63年,38,NA,63年
64年,38,NA,64年
65年,38,NA,65年
66年,38,NA,66年
67年,36.95,NA,67年
68年,36,NA,68年
69年,36,NA,69年
70年,36.79,NA,70年
71年,39.12,NA,71年
72年,40.06,NA,72年
73年,39.62,NA,73年
74年,39.86,NA,74年
75年,37.85,NA,75年
76年,31.87,NA,76年
77年,28.61,NA,77年
78年,26.41,NA,78年
79年,26.89,NA,79年
80年,26.82,NA,80年
81年,25.16,NA,81年
82年,26.39,NA,82年
83年,26.46,NA,83年
84年,26.49,NA,84年
85年,27.46,NA,85年
86年,28.7,NA,86年
87年,33.46,NA,87年
88年,32.27,NA,88年
89年,31.23,NA,89年
90年,33.81,NA,90年
91年,34.58,NA,91年
92年,34.42,NA,92年
93年,33.43,NA,93年
94年,32.18,NA,94年
95年,32.53,NA,95年
96年,32.84,NA,96年
97年,31.54,NA,97年
98年,33.06,NA,98年
99年,31.65,NA,99年
100年,29.47,NA,100年
101年,29.62,NA,101年
102年,29.77,NA,102年
103年,30.37,NA,103年
104年,31.91,NA,104年
105年,32.33,NA,105年
106年,30.44,NA,106年
107年,30.16,NA,107年
108年,30.93,NA,108年
109年,29.58,NA,109年
110年,28.02,NA,110年
111年,29.81,NA,111年
112年,31.16,NA,112年
註解：,NA,NA,註解：
2024Q1為修正數，2024Q2為初步統計數。,NA,NA,2024Q1為修正數，2024Q2為初步統計數。
